geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract
Census Tract 206.33; Shelby County; Tennessee,3087,39.9,83125,3050,137,1393,15,1187,1071,116,2500,284900,47,157,020633
Census Tract 206.34; Shelby County; Tennessee,2798,52.7,89712,2798,136,1383,49,1071,947,124,1586,272000,47,157,020634
Census Tract 206.35; Shelby County; Tennessee,2763,36.6,76477,2749,477,1325,18,981,843,138,1554,199900,47,157,020635
Census Tract 206.51; Shelby County; Tennessee,7511,33.5,73977,7511,815,3569,119,2404,1669,735,1539,209500,47,157,020651
Census Tract 206.52; Shelby County; Tennessee,4591,41.4,87727,4554,174,2765,91,1844,1447,397,1480,238600,47,157,020652
Census Tract 206.53; Shelby County; Tennessee,3644,42.8,133250,3631,54,1863,22,1276,1195,81,1750,387500,47,157,020653
Census Tract 206.54; Shelby County; Tennessee,5847,41.9,98095,5660,156,2885,72,1950,1723,227,1594,353200,47,157,020654
Census Tract 206.55; Shelby County; Tennessee,3222,47.5,92158,3188,244,1712,65,1230,1075,155,2101,321800,47,157,020655
Census Tract 206.56; Shelby County; Tennessee,4681,40.0,106806,4681,53,3007,62,1727,1319,408,1633,342000,47,157,020656
Census Tract 206.57; Shelby County; Tennessee,5354,40.0,120339,5351,319,2925,86,1828,1523,305,2184,333700,47,157,020657
Census Tract 206.58; Shelby County; Tennessee,5953,30.5,64201,5930,733,3142,302,1864,1093,771,1448,191700,47,157,020658
Census Tract 207; Shelby County; Tennessee,2223,50.5,84861,2223,107,1122,29,876,853,23,1250,297200,47,157,020700
Census Tract 208.33; Shelby County; Tennessee,5541,41.0,129063,5285,246,2532,74,1748,1725,23,-666666666,402000,47,157,020833
Census Tract 208.34; Shelby County; Tennessee,2988,42.4,108056,2979,74,1525,37,1200,819,381,1172,449600,47,157,020834
Census Tract 208.35; Shelby County; Tennessee,2168,52.6,94706,2168,313,1012,61,888,815,73,1750,369500,47,157,020835
Census Tract 208.36; Shelby County; Tennessee,8516,42.9,155978,8516,270,4115,133,2823,2612,211,2250,481800,47,157,020836
Census Tract 208.37; Shelby County; Tennessee,7281,36.3,93770,7281,237,3675,123,3004,2056,948,1678,294300,47,157,020837
Census Tract 209.01; Shelby County; Tennessee,5880,35.4,130089,5827,591,3084,157,1758,1233,525,2205,398100,47,157,020901
Census Tract 209.02; Shelby County; Tennessee,7760,37.8,136512,7760,95,4185,55,2605,2420,185,2108,435200,47,157,020902
Census Tract 210.20; Shelby County; Tennessee,6482,44.2,126279,6482,551,3537,374,2384,2132,252,1629,447300,47,157,021020
Census Tract 210.21; Shelby County; Tennessee,5226,34.7,77375,5184,947,2909,28,1757,1293,464,2017,280800,47,157,021021
Census Tract 210.22; Shelby County; Tennessee,6328,36.6,84455,6328,314,3546,226,2511,1415,1096,1855,284400,47,157,021022
Census Tract 210.23; Shelby County; Tennessee,7439,37.2,134903,7308,1438,3924,32,2738,1941,797,1645,451400,47,157,021023
Census Tract 211.11; Shelby County; Tennessee,4376,29.7,49514,4370,890,2504,204,1724,628,1096,1089,159700,47,157,021111
Census Tract 211.12; Shelby County; Tennessee,5867,31.8,62289,5867,543,3439,83,2365,1217,1148,1432,156400,47,157,021112
Census Tract 211.13; Shelby County; Tennessee,3960,31.8,69737,3960,455,2132,344,1580,797,783,1647,201300,47,157,021113
Census Tract 211.21; Shelby County; Tennessee,5237,30.6,47500,5237,544,3248,204,2818,677,2141,1103,275200,47,157,021121
Census Tract 211.22; Shelby County; Tennessee,5842,29.4,59246,5842,1171,3057,131,2070,732,1338,1221,159800,47,157,021122
Census Tract 211.24; Shelby County; Tennessee,7991,31.0,58409,7794,1182,4760,141,3336,1607,1729,1783,222100,47,157,021124
Census Tract 211.25; Shelby County; Tennessee,4473,36.9,77222,4289,117,2526,25,1828,921,907,1629,270100,47,157,021125
Census Tract 211.26; Shelby County; Tennessee,3572,30.9,69491,3572,362,2140,68,1722,589,1133,1645,326300,47,157,021126
